BD_age_1C_250828,CF,grainsize_age_250828,D50,SF_age_250828,Sandflux,bulkgeo_age_250828,c13,XRF_age_250828,SiTi
-49,0.018006057,-49,23,-49,0.005462663,37,-24.92,532.4,2.733443163
-6,0.021296958,37,43.1,37,0.008588429,123,-25.15,536.8,2.680306055
37,0.019701017,123,27.5,123,0.005512893,208,-24.7,539,2.876501611
80,0.019683745,208,34.4,208,0.00674195,294,-25.16,541.2,2.205689278
123,0.017431625,294,57.7,294,0.009736989,379,-25.48,545.6,2.300171038
166,0.03060897,379,44.6,379,0.008444818,465,-25.1,550,2.744372324
208,0.016969079,465,34.7,465,0.00890166,550,-24.86,554.2,2.316584374
251,0.015921413,550,58.5,550,0.014879154,719,-24.78,558.4,2.33530847
294,0.018636101,634,77,634,0.015423754,887,-24.66,560.5,2.719258843
337,0.01967246,719,28.4,719,0.006255239,1053,-24.58,562.6,2.427675033
379,0.018489256,803,27,803,0.005335954,1135,-24.39,566.8,2.344871388
422,0.019915642,887,33.5,887,0.005463789,1217,-24.32,571,3.06669057
465,0.023165855,970,81.1,970,0.016106511,1297,-24.55,581.5,2.616847399
507,0.017478982,1012,51.2,1012,0.012537077,1377,-23.38,592,3.387525403
550,0.020168371,1053,99.1,1053,0.02755599,1534,-23.99,602.5,3.350566289
550,0.028921056,1094,39.1,1094,0.008468124,1686,-24.23,613,3.065744847
592,0.021431268,1135,52.3,1135,0.010334545,1832,-24.6,623.5,3.0226199
592,0.022602715,1176,51.6,1176,0.012049407,1903,-24.82,634,2.947288929
634,0.015414934,1217,73,1217,0.018139123,1971,-25.11,645,3.198250273
634,0.024752828,1257,64.3,1257,0.019014466,2036,-24.77,656,3.463903282
677,0.012357512,1297,34.8,1297,0.006986235,2100,-24.09,666.5,3.31122638
677,0.017576722,1337,63.8,1337,0.011668839,2160,-24.9,677,3.51459025
719,0.017990121,1377,58.5,1377,0.012424338,2218,-23.98,687.5,3.363367313
719,0.019093423,1417,43.9,1417,0.008996765,2331,-24.73,698,3.300588428
761,0.015205528,1456,69.1,1456,0.020861598,2401,-24.45,708.5,3.702198534
761,0.020280548,1495,40.4,1495,0.011982917,2458,-25.06,719,3.733822855
803,0.01639484,1534,49.5,1534,0.011469311,2516,-24.17,729.5,3.730717185
803,0.018205857,1573,39.7,1573,0.009713877,2577,-24.49,740,3.698240676
845,0.01499473,1611,40.3,1611,0.007624942,2641,-24.85,750.5,3.538694992
845,0.016159922,1649,50.4,1649,0.01144485,2779,-24.4,761,3.417461694
